Id,Name,Date established,Date ceased,Function,Committee type,Earlier committees,Later committees
C222,Certain Aspects of Queensland Government Administration related to Commonwealth Government Affairs,30/09/2014,27/03/2015,"The committee examined the funding and public administration arrangements between the Queensland and Commonwealth governments. It considered arrangements entered into by the Queensland Government relating to the approval processes for export of resources, and the consistency of Queensland Government policies with international environmental law and human rights instruments.",Select,"",""
C223,Wind Turbines,24/11/2014,3/08/2015,"The committee considered the economic impact of wind turbines and the application of regulatory, oversight and compliance governance. Factors examined included the cost implications for households and operators, the impact of the farms on fauna and aerial operations, the emission equations of wind turbines throughout their lifetime and the relevant research, planning and implementation processes.",Select,"",""
C224,Recent Allegations relating to Conditions and Circumstances at the Regional Processing Centre in Nauru,26/03/2015,31/08/2015,The committee inquired into the Commonwealth Government's responsibilities in connection with the management and operation of the Regional Processing Centre in Nauru. It also examined further responsibilities arising under duty of care or in connection with the conduct of staff employed at the Centre.,Select,"",""
C225,Murray–Darling Basin Plan,24/06/2015,17/03/2016,"The committee inquired into the impacts of the Murray–Darling Basin Plan and associated Commonwealth programs on regional communities. The committee paid particular attention to the implementation of the Plan, the effectiveness and appropriateness of the Plan's Constraints Management Strategy, and the management of the Coorong, Lower Lakes and Murray mouth.",Select,"",""
C226,Scrutiny of Government Budget Measures,11/08/2015, 9/05/2016,"The committee, known as the Select Committee on the Abbott Government's Budget Cuts until 11 August 2015, examined the impact of funding changes and cuts announced in the 2014–15 Budget on the broader economy, including in the context of infrastructure funding and the CSIRO.",Select,C220,""
C227,Unconventional Gas Mining,12/11/2015, 9/05/2016,"The committee considered the adequacy of Australia's legislative, regulatory and policy framework for unconventional gas mining, including coal seam gas and shale gas mining. The committee examined the potential impacts and assistance and compensation arrangements for those affected, and the compliance, legislative and taxation arrangements for the practice in Australia and internationally.",Select,"",""
C228,School Funding Investment,4/02/2016, 9/05/2016,"The committee inquired into the effect of reduced Commonwealth funding for state and territory schools following the 2014–15 Budget. It paid particular attention to the experiences of schools and students in regional, rural and remote areas and the impact the changes in funding had on students' job skills. The committee lapsed at the 2016 double dissolution without producing a report.",Select,"",""
C229,Establishment of a National Integrity Commission,24/02/2016, 9/05/2016,"The committee examined the adequacy of the Commonwealth Government's legislative, institutional and policy framework in addressing corruption and misconduct and considered the need for, and potential scope of, a national integrity commission. The committee lapsed at the end of the 44th Parliament and the Select Committee on a National Integrity Commission continued consideration of this issue.",Select,"",""
C230,Red Tape,11/10/2016,3/12/2018,"The committee was established to inquire into the effect of restrictions and prohibitions on business on the economy and community. The committee conducted nine inquiries across various policy areas including compliance costs, impacts on opportunity and ways to improve the effectiveness of institutional structures to reduce red tape.",Select,"",""
C231,Resilience of Electricity Infrastructure in a Warming World,12/10/2016,7/04/2017,"The committee considered technologies and processes to improve the resilience of electricity networks to withstand the increasing severity and frequency of extreme weather events driven by global warming. The committee also examined the rollout of such technologies including job creation, demand stimulation, deployment requirements and cost reduction.",Select,"",""
C232,Funding for Research into Cancers with Low Survival Rates,29/11/2016,28/11/2017,"The committee examined funding for research and considered ways in which survival rates can be increased for low survival rate cancers. The terms of reference covered the National Health and Medical Research Council's funding model, obstacles to running clinical trials and the low survival rate for brain cancers.",Select,"",""
C233,Strengthening Multiculturalism,29/11/2016,17/08/2017,"The committee considered ways to protect and strength Australia's multiculturalism and social inclusion. The extensive terms of reference covered diversity, social inclusion services, research, discrimination, recognition, political leadership and how to improve standards of public discourse.",Select,"",""
C234,Exposure Draft of the Marriage Amendment (Same-Sex Marriage) Bill,30/11/2016,15/02/2017,"Following its release in October 2016 by the Attorney- General, the Senate referred the Exposure Draft of the Marriage Amendment (Same-Sex Marriage) Bill to the committee for inquiry as a matter of public policy and to progress debate. The committee examined the effect of the proposed exemptions for religious freedoms and the Sex Discrimination Act 1984. Following a voluntary national survey in which the Australian people voted in favour of legalising same-sex marriage, a bill based on the select committee's report was passed by the Parliament in December 2017.",Select,"",""
C235,National Integrity Commission,8/02/2017,13/09/2017,The committee considered the adequacy of current integrity arrangements and ascertained whether a national integrity commission should be established to address corruption and misconduct in Australia. The committee's inquiry continued on from the work of the Select Committee on the Establishment of a National Integrity Commission during the 44th Parliament.,Select,"",""
C236,Lending to Primary Production Customers,16/02/2017,6/12/2017,"The committee inquired into the regulation and practices of financial institutions in relation to primary production industries (including agriculture, fisheries and forestry). The terms of reference covered the lending, foreclosure and default practices, the role of service providers, complaints handling and dispute management procedures, and the appropriateness of loan contract terms.",Select,"",""
C237,Future of Public Interest Journalism,10/05/2017,5/02/2018,"The committee examined the current state of public interest journalism across Australia and globally. The extensive terms of reference also covered the adequacy of competition and consumer laws, impact on online media, community broadcasters and fake news.",Select,"",""
C238,Political Influence of Donations,17/08/2017,6/06/2018,"The committee considered the need to reform Australia's federal political funding and disclosure regime. The inquiry examined political donations in terms of influence, motivations, the use of third parties and ways to improve the integrity of political decision-making.",Select,"",""
C239,Future of Work and Workers,19/10/2017,19/09/2018,"The committee considered the challenges that arise in the preparation of Australians for the workforce of the future. The inquiry's terms of reference covered working patterns, societal impacts, international efforts and the adequacy of Australia's existing laws, policies and institutions to prepare for change.",Select,"",""
C240,Stillbirth Research and Education,27/03/2018,4/12/2018,The committee inquired into the future of stillbirth research and education in Australia. The inquiry focused on ways to improve research techniques and how this research can best be communicated to Australian families. Individual cases and personal experiences were heard by the committee and taken as evidence for its report.,Select,"",""
C241,Obesity Epidemic in Australia,10/05/2018,5/12/2018,"The committee examined the prevalence, cause and implications of obesity for the Australian economy and society. The inquiry also evaluated existing policies and programs seeking to address and prevent obesity and proposed new strategies.",Select,"",""
C242,Charity Fundraising in the 21st Century,19/06/2018,14/02/2019,"The committee considered the regulation of fundraising for charities and options for reform. The extensive terms of reference covered the adequacy of current laws, barriers to charity fundraising and opportunities for collaboration. The committee heard evidence from a range of charities and not-for-profits as well as government and regulatory bodies.",Select,"",""
C243,Electric Vehicles,27/06/2018,30/01/2019,"The committee examined the use and manufacture of electric vehicles in Australia. The terms of reference covered the economic, environmental and social benefits of electric vehicle uptake, opportunities for supply and value chain services.",Select,"",""
C244,Fair Dinkum Power,28/11/2018,2/07/2019,"The committee inquired into the potential for empowering energy consumers to play a more important role in the National Energy Market, and the potential for these services to deliver lower energy costs and increase energy reliability. The committee lapsed at the end of the 45th Parliament and was not re-established in the 46th Parliament.",Select,"",""
C245,Chairs',10/10/1994,,The Chairs' Committee consists of the chairs of the legislative and general purpose standing committees and select committees and meets to consider and report to the Senate on matters relating to the operations of the committees. The committee is chaired by the Deputy President of the Senate.,Domestic,"",""
C246,Effectiveness of the Australian Government's Northern Australia Agenda,4/07/2019,28/04/2021,The committee was established to inquire into the effectiveness of the Australian Government's Northern Australia agenda.,Select,"",""
C247,Multi-Jurisdictional Management and Execution of the Murray Darling Basin Plan,23/07/2019,30/09/2021,"The committee was established to inquire into and report on matters related to the responsibilities of Commonwealth, state and territory governments under the Murray Darling Basin Plan and the effects of the different approaches to water resource management in basin.",Select,"",""
C248,Jobs for the Future in Regional Areas,31/07/2019,4/12/2019,"The committee reported on industries with the most potential to provide jobs in regional areas, issues relating to the transition to renewable energy industries, and the role of governments to promote and support these industries.",Select,"",""
C249,Financial Technology and Regulatory Technology,11/09/2019,,"The committee was established to inquire into the opportunities for Australian consumers and business arising from financial technology (FinTech) and regulatory technology (RegTech), including any barriers to their uptake.",Select,"",""
C250,Autism,27/11/2019,25/03/2021,"The committee was established to inquire into and report on the services, support and life outcomes for autistic people in Australia and the associated need for a National Autism Strategy.",Select,"",""
C251,Scrutiny of Delegated Legislation,4/12/2019,,"The Standing Committee for the Scrutiny of Delegated Legislation assesses delegated legislation against a set of scrutiny principles that focus on compliance with statutory requirements, the protection of individual rights and liberties, and principles of parliamentary oversight.",Legislative scrutiny,C014,""
C252,Foreign Interference through Social Media,5/12/2019,24/07/2022,The committee was established to inquire into and report on the risk posed to Australia’s democracy by foreign interference through social media.,Select,"",""
C253,Temporary Migration,5/12/2019,1/09/2021,"The committee was established to inquire into and report on the impact of temporary migration on the Australian economy, wages and jobs, social cohesion and workplace rights and conditions.",Select,"",""
C254,Administration of Sports Grants,5/02/2020,18/03/2021,The committee was established to inquire into and report on the administration and award of funding under the Community Sport Infrastructure Grant Program.,Select,"",""
C255,COVID-19,8/04/2020,7/04/2022,The committee was established to inquire into the Australian Government’s response to the COVID-19 pandemic and any other related matters.,Select,"",""
C256,Aboriginal Flag,3/09/2020,13/10/2020,"The committee was appointed to inquire into and report on copyright and licensing arrangements for the Aboriginal flag design, including options to allow the design to be freely used by Aboriginal communities and the broader Australian community.",Select,"",""
C257,Tobacco Harm Reduction,6/10/2020,18/12/2020,"The committee was appointed to inquire into and report on tobacco reduction strategies, including the regulation of nicotine vaping products, the impact of these products on smoking rates, and the marketing of e-cigarettes by the tobacco industry.",Select,"",""
C258,Job Security,10/12/2020,30/03/2022,"The committee was established to inquire into the impact of insecure or precarious employment on the economy, wages, social cohesion and workplace rights and conditions.",Select,"",""
